host	path	repo	head	branch	kind	prior_verdict	notes
112	/home/reyerchu/_batch43	/home/reyerchu/vibe-ic	6e90026c05fdd0c7d33641b2eeeb99438f127380	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=793 nadd=994 ndel=5412 rule=R2 issue=
112	/home/reyerchu/_batch7	/home/reyerchu/vibe-ic	471490960c60e547296990ab83f5188ef0a490df	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=358 nadd=358 ndel=1430 rule=R2 issue=
112	/home/reyerchu/_batch96	/home/reyerchu/vibe-ic	35bdad45f135b8bb92c2c149e40b4abae65e86c2	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2415 nadd=3703 ndel=30822 rule=R2 issue=
112	/home/reyerchu/_batchX	/home/reyerchu/vibe-ic	3ee007b6eaf4dc194cff74bc4db4b421ec9ffdb0	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2281 nadd=3360 ndel=28550 rule=R2 issue=
112	/home/reyerchu/_cpath_priv/basetree	/home/reyerchu/_cpath_priv/vibe-ic	46db018669cbd98a2bf6738235edaa03b2ae32a7	(detached)	NEW		never judged
112	/home/reyerchu/_ctrl1532	/home/reyerchu/vibe-ic	fa0ce6f8ad97f660f63727fd4897d726d8656828	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=217 nadd=217 ndel=728 rule=R2 issue=
112	/home/reyerchu/_ctrl2	/home/reyerchu/vibe-ic	09eee05443e037fbc296692236e9967558ce4c05	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=244 nadd=244 ndel=1175 rule=R2 issue=
112	/home/reyerchu/_ctrl3	/home/reyerchu/vibe-ic	9a037726e0550f2e0deaeeb239723f2b696216cf	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=403 nadd=403 ndel=1320 rule=R2 issue=
112	/home/reyerchu/_gf180_priv/wt	/home/reyerchu/vibe-ic	d830ba32dcbaa4c4c1bda37e5991f6e455056f36	refs/heads/gf180/chip-path-captures	MOVED	RECOVER	HEAD moved since judging (61fbc401f -> d830ba32d); prior RECOVER is void
112	/home/reyerchu/_gf180_priv/wt2	/home/reyerchu/vibe-ic	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	NEW		never judged
112	/home/reyerchu/_i_batch103	/home/reyerchu/vibe-ic	e539d0622eaf27075ec6443b74afd450ccb3d222	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3228 nadd=4217 ndel=33501 rule=R2 issue=
112	/home/reyerchu/_i_batchv2	/home/reyerchu/vibe-ic	5f8de0427b706e76681505a605204bf54d62df56	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3332 nadd=4176 ndel=33105 rule=R2 issue=
112	/home/reyerchu/_i_batchv3	/home/reyerchu/vibe-ic	78f99ee5f23231d23980dded04d73aec34e108ce	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3207 nadd=4051 ndel=32213 rule=R2 issue=
112	/home/reyerchu/_i_pin_v1519_1091	/home/reyerchu/vibe-ic	33acdb41e0c5a1e6c0117069f178b1984b198477	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=47 nadd=47 ndel=1035 rule=R2 issue=
112	/home/reyerchu/_i_solo_1126	/home/reyerchu/vibe-ic	30ca1a916507478dbe53f7517e3b16f76fa6efde	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=79 nadd=79 ndel=628 rule=R2 issue=
112	/home/reyerchu/_i_solo_1517	/home/reyerchu/vibe-ic	097b91daaff0cf0cd1bb8ad47f757ef4b0b2639e	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=78 nadd=78 ndel=1662 rule=R2 issue=
112	/home/reyerchu/_jcorpus/base	/home/reyerchu/vibe-ic	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	NEW		never judged
112	/home/reyerchu/_jcorpus/tree	/home/reyerchu/vibe-ic	aeb888694f8fe4fde567ee37d00fa25d3fdb38d9	refs/heads/jcorpus/ppa-corpus-mode	NEW		never judged
112	/home/reyerchu/_jd3	/home/reyerchu/vibe-ic	a00f53f2094812041c8aa6094f27058bc1b14ddd	refs/heads/fix/jd3-d3-declaration-parity	NEW		never judged
112	/home/reyerchu/_jppa_contract/tree	/home/reyerchu/vibe-ic	e59fb46f38982b0034d62d7e36ce0003933bb709	refs/heads/jppa-contract	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3702 nadd=4040 ndel=0 rule=R2 issue=
112	/home/reyerchu/_jppa_search/tree	/home/reyerchu/vibe-ic	dd98dab4baaa659ca24fb1edf1fd10f966c0e220	refs/heads/jppa-search/ppa-search-layer	MOVED	RECOVER	HEAD moved since judging (8ba4bb7a7 -> dd98dab4b); prior RECOVER is void
112	/home/reyerchu/_jppa_skills/tree	/home/reyerchu/vibe-ic	39b985af57acb42a71855fb323391dac747880f5	refs/heads/jppa-skills/six-ppa-skills	MOVED	RECOVER	HEAD moved since judging (03926f8b5 -> 39b985af5); prior RECOVER is void
112	/home/reyerchu/_steps68	/home/reyerchu/vibe-ic	8aeb759d0e224d80c61d43ba86de258f25483f16	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=40 nadd=40 ndel=54 rule=R2 issue=
112	/home/reyerchu/_v1126	/home/reyerchu/vibe-ic	a7b1ed913e21485660bfa3d9d5ba69042dabaea4	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=79 nadd=79 ndel=628 rule=R2 issue=
112	/home/reyerchu/_v1290	/home/reyerchu/vibe-ic	69fa7107d6a2dde02ef35484f99e6ac8f8d5a9ee	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=68 nadd=68 ndel=382 rule=R2 issue=
112	/home/reyerchu/vibe-ic-wt-a3prov	/home/reyerchu/vibe-ic-repo	bcaa9bc9e70a03a335cbdeaa7459493072d871e5	refs/heads/fix/analog-a3-netlist-provenance-gate	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=122 nadd=122 ndel=2052 rule=R2 issue=
